resp_id,survey_location,period,post,treated,did,monthly_transport_exp,ticket_expenditure,gender,female,age,profession,trip_purpose,mode,trip_dist_km,trip_time_min,trip_fare,trips_per_week,wait_min,access_dist_m,n_2w,n_4w,n_cycle,hh_motor_vehicles,income_imputed,vi_income,vi_no_vehicle,vi_elderly,brt_experience,employed,VI,VI_did
1,8. Hall Gate,0,0,0,0,259.8,0.0,Female,1,17,Student,Education,Shared Autorickshaw,2.0,10,10,6,1,0,1,0,1,1,0,1.0,0,0,Yes,0,0.3333333333333333,0.0
1,8. Hall Gate,1,1,0,0,267.53956048555966,0.0,Female,1,17,Student,Education,Shared Autorickshaw,2.0,10,10,6,1,0,1,0,1,1,0,1.0,0,0,Yes,0,0.3333333333333333,0.0
2,13. Mudhal Bypass,0,0,0,0,519.6,0.0,Female,1,30,Private salaried job,Work,Shared Autorickshaw,2.0,20,20,6,5,100,1,0,1,1,17000,0.5853430110044486,0,0,No,1,0.1951143370014828,0.0
2,13. Mudhal Bypass,1,1,0,0,523.9887843975206,0.0,Female,1,30,Private salaried job,Work,Shared Autorickshaw,2.0,20,20,6,5,100,1,0,1,1,17000,0.5853430110044486,0,0,No,1,0.1951143370014828,0.0
3,23. Celebration Mall,0,0,1,0,519.6,0.0,Female,1,45,Private salaried job,Work,Shared Autorickshaw,2.0,15,20,6,5,100,1,0,1,1,17000,0.5853430110044486,0,0,No,1,0.1951143370014828,0.0
3,23. Celebration Mall,1,1,1,1,129.9,5.0,Female,1,45,Private salaried job,Work,Shared Autorickshaw,2.0,15,20,6,5,100,1,0,1,1,17000,0.5853430110044486,0,0,No,1,0.1951143370014828,0.1951143370014828
4,18. Spring Dale,0,0,0,0,303.1,0.0,Male,0,46,Homemaker,Work,Shared Autorickshaw,2.0,20,10,7,2,200,1,0,0,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
4,18. Spring Dale,1,1,0,0,310.07368029059364,0.0,Male,0,46,Homemaker,Work,Shared Autorickshaw,2.0,20,10,7,2,200,1,0,0,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
5,1. 100 ft road Chowk,0,0,0,0,519.6,0.0,Male,0,47,Self-employed,Work,Shared Autorickshaw,2.5,15,20,6,3,0,1,0,1,1,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
5,1. 100 ft road Chowk,1,1,0,0,520.5417734788765,0.0,Male,0,47,Self-employed,Work,Shared Autorickshaw,2.5,15,20,6,3,0,1,0,1,1,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
6,19. Sultanwind,0,0,0,0,173.2,0.0,Female,1,15,Student,Shopping,Shared Autorickshaw,3.0,15,10,4,0,0,0,0,1,0,0,1.0,1,0,Yes,0,0.6666666666666666,0.0
6,19. Sultanwind,1,1,0,0,182.9562235163676,0.0,Female,1,15,Student,Shopping,Shared Autorickshaw,3.0,15,10,4,0,0,0,0,1,0,0,1.0,1,0,Yes,0,0.6666666666666666,0.0
7,25. Golden Gate,0,0,0,0,779.4,0.0,Female,1,18,Student,Education,Shared Autorickshaw,3.0,20,30,6,5,200,2,0,0,2,0,1.0,0,0,No,0,0.3333333333333333,0.0
